NO_SEQ,NO_ENTRE_1,NOM_PUITS,ANNEE,REGION_GEO,LATITUDE_X,LATITUDE_1,LONGITUDE_,LONGITUDE1,PROFONDEUR,TYPE_PUITS,SYMBOLOGIE,F1,Number,Name,MERN_status,Year_of_drilling,Year_of_suspension,Year_of_abandon,Latitude,Longitude,Administrative_region,Geological_region,Type_of_drill,Deepest_casing_base__m_sol_ou_m,Geology_from_end_of_last_casing,Operator,Type,Plugging_status,Ground_elevation__m_mer_,Depth__m_sol_or_m_KB_,Link_to_inspection_report,Link_to_SIGPEG,ObjectID,geometry
1,AZ01,Saint-Viateur No 1,1931,(A) Basses-Terres (sols consolid运s),"46) 8' 47""",46.1464,"-73  9' 46""",-73.1628,130 pi/sol,Sondage stratigraphique,Statut inconnu,27,AZ01,Saint-Viateur No 1,Work/Repairs Needed,1931,N.D.,N.D.,46.1438,-73.1572,Lanaudière,A-Basses-Terres (sols consolidés),N.D.,19.812,"Limestone, mafic dyke",St. Paul Oil and Gas Corporation Ltd.,Gas,Unplugged,,39.624,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ01_insp_inactif_2019-11-13_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ01,27,POINT (-73.16279999972016 46.14639999996007)
2,AZ03,Ayers Well No 1,0,(A) Basses-Terres (sols consolid运s),"45) 40' 00,2""",45.6667,"-74  17' 58,6""",-74.2996,130 pi/sol,Sondage stratigraphique,Statut inconnu,35,AZ03,Ayers Well No 1,Non-Locatable,,N.D.,N.D.,45.6667,-74.2996,Laurentides,A-Basses-Terres (sols consolidés),N.D.,N.D.,N.D.,Ayers Ltd.,None,Unplugged,,39.624,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ03_insp_inactif_2019-09-12_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ03,601,POINT (-74.29960000023976 45.66670000000505)
3,AZ04,BZcancour No 11,1956,(A) Basses-Terres (sols consolid运s),"46) 15' 00,1""",46.25,"-72  26' 48,4""",-72.4468,565 pi/sol,Sondage stratigraphique,Statut inconnu,36,AZ04,Bécancour No 11,Non-Locatable,1956,N.D.,N.D.,46.2523198,-72.4500084,Centre-du-Québec,A-Basses-Terres (sols consolidés),Cable,N.D.,N.D.,Lowlands Exploration Ltd.,None,Unplugged,51.2064,172.212,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ04_insp_inactif_2019-11-14_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ04,602,POINT (-72.44679999982009 46.25000000029985)
4,AZ05,BZcancour No 12,1956,(A) Basses-Terres (sols consolid运s),"46) 18' 00,1""",46.3,"-72  31' 58,4""",-72.5329,490 pi/sol,Sondage stratigraphique,Statut inconnu,37,AZ05,Bécancour No 12,Non-Locatable,1956,N.D.,N.D.,46.2243599,-72.4468515,Centre-du-Québec,A-Basses-Terres (sols consolidés),Cable,N.D.,N.D.,Lowlands Exploration Ltd.,None,Unplugged,48.768,149.352,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ05_insp_inactif_2019-09-09_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ05,603,POINT (-72.53289999983508 46.30000000019993)
5,AZ06,BZcancour No 13,1956,(A) Basses-Terres (sols consolid运s),"46) 13' 25,1""",46.2236,"-72  26' 48,4""",-72.4468,910 pi/sol,Sondage stratigraphique,Statut inconnu,38,AZ06,Bécancour No 13,Non-Locatable,1956,N.D.,N.D.,46.2236,-72.4468,Centre-du-Québec,A-Basses-Terres (sols consolidés),Cable,N.D.,"Mudstone, shale",Lowlands Exploration Ltd.,None,Unplugged,58.2168,277.368,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ06_insp_inactif_2019-09-09_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ06,604,POINT (-72.44679999982009 46.22359999964033)
6,AZ07,BZcancour No 4,0,(A) Basses-Terres (sols consolid运s),"46) 15' 55,1""",46.2653,"-72  27' 23,4""",-72.4565,435 pi/sol,Sondage stratigraphique,Statut inconnu,39,AZ07,Bécancour No 4,Non-Locatable,,N.D.,N.D.,46.2653056,-72.4565,Centre-du-Québec,A-Basses-Terres (sols consolidés),Cable,N.D.,N.D.,N.D.,None,Unplugged,,132.588,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ07_insp_inactif_2019-09-17_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ07,605,POINT (-72.45650000017486 46.26529999989515)
7,AZ09,Bolta Plastic Well,0,(A) Basses-Terres (sols consolid运s),"45) 24' 12,7""",45.4035,"-72  45' 35,8""",-72.7599,760 pi/sol,Sondage stratigraphique,Statut inconnu,156,AZ09,Bolta Plastic Well,Non-Problematic,,N.D.,N.D.,45.4,-72.7662,Montérégie,A-Basses-Terres (sols consolidés),N.D.,N.D.,N.D.,N.D.,None,Unplugged,,231.648,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ09_insp_inactif_2019-10-29_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ09,251,POINT (-72.75989999988502 45.40349999972528)
8,AZ10,Imperial Lowlands Boucherville No 1,1956,(A) Basses-Terres (sols consolidos),"45) 35' 20,1""",45.5889,"-73  21' 38,5""",-73.3607,1000 pi/sol,Puits d'exploration oWildcato,Ferms d'finitivement,40,AZ10,Imperial Lowlands Boucherville No 1,Non-Locatable,1956,N.D.,N.D.,45.5889167,-73.3606944,Montérégie,A-Basses-Terres (sols consolidés),Cable,N.D.,"Sandstone, siltstone, shale",Lowlands Exploration Ltd.,None,Unplugged,28.956,304.8,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ10_insp_inactif_2019-10-29_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ10,606,POINT (-73.36069999960523 45.58889999963532)
9,AZ11,Canadian Celanese No 1,0,(A) Basses-Terres (sols consolidos),"45) 49' 57,6""",45.8327,"-72  31' 59,1""",-72.5331,78 pi/sol,Sondage stratigraphique,Statut inconnu,157,AZ11,Canadian Celanese No 1,Non-Problematic,,N.D.,N.D.,45.8334,-72.5329,Centre-du-Québec,A-Basses-Terres (sols consolidés),N.D.,19.2024,"Sandstone, shale",Canadian Celanese Company,None,Unplugged,,23.7744,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ11_insp_inactif_2019-09-09_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ11,252,POINT (-72.53310000006491 45.83270000010498)
10,AZ12,Canadian Celanese No 2,0,(A) Basses-Terres (sols consolidos),"45) 49' 57,7""",45.8327,"-72  31' 58,8""",-72.533,114 pi/sol,Sondage stratigraphique,Statut inconnu,158,AZ12,Canadian Celanese No 2,Non-Problematic,,N.D.,N.D.,45.8334,-72.5329,Centre-du-Québec,A-Basses-Terres (sols consolidés),N.D.,34.4424,Shale,Canadian Celanese Company,None,Unplugged,,34.7472,https://sigpeg.mrn.gouv.qc.ca/rapport/AZ12_insp_inactif_2019-09-09_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=AZ12,253,POINT (-72.53299999994999 45.83270000010498)
